competitorname,toffee_type,sugar_percent,price_percent,win_percent,performance
ReeseÕs Peanut Butter cup,Chocolate-Nut,72.000003,65.100002,84.18029,High Performer
ReeseÕs Miniatures,Chocolate-Nut,3.4000002,27.900001000000003,81.866257,High Performer
Twix,Chocolate-Caramel,54.6,90.600002,81.642914,High Performer
Kit Kat,Chocolate,31.299999,51.099998,76.7686,High Performer
Snickers,Chocolate-Nut,54.6,65.100002,76.673782,High Performer
ReeseÕs pieces,Chocolate-Nut,40.599999,65.100002,73.43499,High Performer
Milky Way,Chocolate-Caramel,60.399997000000006,65.100002,73.099556,High Performer
ReeseÕs stuffed with pieces,Chocolate-Nut,98.799998,65.100002,72.887901,High Performer
Peanut butter M&MÕs,Chocolate-Nut,82.499999,65.100002,71.46505,High Performer
Nestle Butterfinger,Chocolate-Nut,60.399997000000006,76.700002,70.735641,High Performer
Peanut M&Ms,Chocolate-Nut,59.299999,65.100002,69.483788,High Performer
3 Musketeers,Chocolate,60.399997000000006,51.099998,67.602936,High Performer
Starburst,Fruity,15.099999,22.0,67.037628,High Performer
100 Grand,Chocolate-Caramel,73.199999,86.000001,66.971725,High Performer
M&MÕs,Chocolate,82.499999,65.100002,66.574585,High Performer
Nestle Crunch,Chocolate,31.299999,76.700002,66.47068,High Performer
Rolo,Chocolate-Caramel,86.000001,86.000001,65.716286,High Performer
Milky Way Simply Caramel,Chocolate-Caramel,96.49999700000001,86.000001,64.35334,High Performer
Skittles original,Fruity,94.099998,22.0,63.08514,High Performer
HersheyÕs Krackel,Chocolate,43.000001,91.799998,62.284481,High Performer
Milky Way Midnight,Chocolate-Caramel,73.199999,44.100001,60.800701,High Performer
Sour Patch Kids,Fruity,6.899999800000001,11.600000000000001,59.863998,Average
Snickers Crisper,Chocolate-Nut,60.399997000000006,65.100002,59.529251,Average
HersheyÕs Special Dark,Chocolate,43.000001,91.799998,59.236122,Average
Junior Mints,Chocolate,19.7,51.099998,57.21925,Average
Haribo Gold Bears,Fruity,46.5,46.5,57.11974,Average
Baby Ruth,Chocolate-Nut,60.399997000000006,76.700002,56.914547,Average
HersheyÕs Milk Chocolate,Chocolate,43.000001,91.799998,56.490501,Average
HersheyÕs Kisses,Chocolate,12.7,9.3000002,55.375454,Average
Nerds,Fruity,84.799999,32.499999,55.354046,Average
Skittles wildberry,Fruity,94.099998,22.0,55.103695,Average
Milk Duds,Chocolate-Caramel,30.199999,51.099998,55.064072,Average
Swedish Fish,Fruity,60.399997000000006,75.5,54.861111,Average
Mr Good Bar,Chocolate-Nut,31.299999,91.799998,54.526451,Average
Lifesavers big ring gummies,Fruity,26.699999000000002,27.900001000000003,52.911392,Average
Sour Patch Tricksters,Fruity,6.899999800000001,11.600000000000001,52.825947,Average
Air Heads,Fruity,90.600002,51.099998,52.341465,Average
Haribo Sour Bears,Fruity,46.5,46.5,51.41243,Average
Almond Joy,Chocolate-Nut,46.5,76.700002,50.347546,Average
Tootsie Roll Snack Bars,Chocolate,46.5,32.499999,49.653503,Average
Whoppers,Chocolate,87.199998,84.799999,49.524113,Average
Tootsie Pop,Chocolate,60.399997000000006,32.499999,48.982651,Average
Mounds,Chocolate,31.299999,86.000001,47.829754,Average
Trolli Sour Bites,Fruity,31.299999,25.5,47.173229,Average
Gobstopper,Fruity,90.600002,45.300001,46.783348,Average
Mike & Ike,Fruity,87.199998,32.499999,46.411716,Average
Payday,Other,46.5,76.700002,46.296597,Average
One quarter,Other,1.0999999999999999,51.099998,46.116505,Average
Smarties candy,Fruity,26.699999000000002,11.600000000000001,45.995827,Average
Tootsie Roll Midgies,Chocolate,17.399999,1.0999999999999999,45.736748,Average
Twizzlers,Fruity,22.0,11.600000000000001,45.466282,Average
WelchÕs Fruit Snacks,Fruity,31.299999,31.299999,44.375519,Average
Fruit Chews,Fruity,12.7,3.4000002,43.088924,Average
Tootsie Roll Juniors,Chocolate,31.299999,51.099998,43.068897,Average
Runts,Fruity,87.199998,27.900001000000003,42.849144,Average
Dots,Fruity,73.199999,51.099998,42.272076,Average
Haribo Twin Snakes,Fruity,46.5,46.5,42.178772,Average
